N,P,par_time_total,compute_time,comm_time,speedup_compute,speedup_total,efficiency_compute,efficiency_total
5000000,1,0.059952,0.01185,0.048068,1.0,1.0,1.0,1.0
5000000,2,0.010157,0.002806,0.007352,4.2230933713471135,5.9025302746874075,2.1115466856735567,2.9512651373437038
5000000,4,0.013993,0.003644,0.010445,3.25192096597146,4.284427928249839,0.812980241492865,1.0711069820624597
5000000,8,0.011463,0.00077,0.010949,15.38961038961039,5.2300444909709505,1.9237012987012987,0.6537555613713688
5000000,16,0.024083,0.000884,0.023361,13.40497737556561,2.4893908566208527,0.8378110859728506,0.1555869285388033
5000000,32,0.047784,0.00043,0.047497,27.558139534883722,1.2546459065796083,0.8611918604651163,0.03920768458061276
50000000,1,0.58942,0.13422,0.455168,1.0,1.0,1.0,1.0
50000000,2,0.098316,0.03406,0.066699,3.9406928948913684,5.995158468611417,1.9703464474456842,2.9975792343057086
50000000,4,0.104514,0.024205,0.088336,5.545135302623425,5.639627226974377,1.3862838256558563,1.4099068067435943
50000000,8,0.109801,0.010897,0.102475,12.317151509589795,5.368074971994791,1.5396439386987244,0.6710093714993489
50000000,16,0.157726,0.008253,0.155026,16.263177026535807,3.7369869266956623,1.016448564158488,0.2335616829184789
50000000,32,0.341501,0.003586,0.339545,37.42889012827663,1.7259685916000247,1.1696528165086446,0.05393651848750077
100000000,1,1.279,0.492154,0.786798,1.0,1.0,1.0,1.0
100000000,2,0.194784,0.070066,0.128182,7.024148659835012,6.566247741087563,3.512074329917506,3.2831238705437813
100000000,4,0.181558,0.04783,0.155264,10.289650846748902,7.044580795117813,2.5724127116872255,1.7611451987794533
100000000,8,0.678708,0.180339,0.646612,2.729049179600641,1.8844628323225894,0.3411311474500801,0.23555785404032367
100000000,16,0.295042,0.0126,0.290509,39.059841269841264,4.334976037309942,2.441240079365079,0.2709360023318714
100000000,32,0.581374,0.005261,0.577567,93.547614521954,2.199960782559936,2.9233629538110626,0.068748774454998
250000000,1,1.745071,0.571103,1.173934,1.0,1.0,1.0,1.0
250000000,2,0.352257,0.1145,0.249623,4.9877991266375545,4.953971106322941,2.4938995633187773,2.4769855531614704
250000000,4,0.332676,0.062026,0.277492,9.207477509431529,5.245557238875061,2.301869377357882,1.3113893097187652
250000000,8,0.37553,0.042658,0.345,13.387945989029022,4.646954970308631,1.6734932486286278,0.5808693712885789
250000000,16,0.766087,0.037496,0.743008,15.231037977384254,2.2779018570997813,0.9519398735865159,0.14236886606873633
