N,P,par_time_total,compute_time,comm_time
5000000,1,0.00561700,0.00561200,0.00000300
5000000,2,0.00788000,0.00251300,0.00569500
5000000,4,0.01704400,0.00140500,0.01583200
5000000,8,0.03099400,0.00625800,0.02991100
5000000,16,0.05405200,0.00053300,0.05374000
5000000,32,0.13275200,0.00035400,0.13248000
50000000,1,0.06088300,0.06087500,0.00000500
50000000,2,0.08091300,0.02814100,0.05767500
50000000,4,0.15869200,0.01578600,0.14609200
50000000,8,0.23917300,0.01190700,0.22984400
50000000,16,2.98520900,0.10603700,2.93608800
50000000,32,20.77220600,0.58526100,20.74056400
100000000,1,0.11179500,0.11177300,0.00001900
100000000,2,0.16561700,0.06024900,0.11740400
100000000,4,0.32475900,0.03190800,0.29980400
100000000,8,2.32993700,0.39258800,2.23738200
100000000,16,14.36535400,1.52713900,13.75807400
100000000,32,54.79379600,0.99288200,54.27174900
250000000,1,0.27150700,0.27149500,0.00000600
250000000,2,0.40246900,0.15068800,0.28437100
250000000,4,8.42129300,4.65223500,8.16859300
250000000,8,33.16278600,7.61944800,26.08686600
