N,P,par_time_total,compute_time,comm_time
5000000,1,0.05995200,0.01185000,0.04806800
5000000,2,0.01015700,0.00280600,0.00735200
5000000,4,0.01399300,0.00364400,0.01044500
5000000,8,0.01146300,0.00077000,0.01094900
5000000,16,0.02408300,0.00088400,0.02336100
5000000,32,0.04778400,0.00043000,0.04749700
50000000,1,0.58942000,0.13422000,0.45516800
50000000,2,0.09831600,0.03406000,0.06669900
50000000,4,0.10451400,0.02420500,0.08833600
50000000,8,0.10980100,0.01089700,0.10247500
50000000,16,0.15772600,0.00825300,0.15502600
50000000,32,0.34150100,0.00358600,0.33954500
100000000,1,1.27900000,0.49215400,0.78679800
100000000,2,0.19478400,0.07006600,0.12818200
100000000,4,0.18155800,0.04783000,0.15526400
100000000,8,0.67870800,0.18033900,0.64661200
100000000,16,0.29504200,0.01260000,0.29050900
100000000,32,0.58137400,0.00526100,0.57756700
250000000,1,1.74507100,0.57110300,1.17393400
250000000,2,0.35225700,0.11450000,0.24962300
250000000,4,0.33267600,0.06202600,0.27749200
250000000,8,0.37553000,0.04265800,0.34500000
250000000,16,0.76608700,0.03749600,0.74300800
5000000,4,0.00686800,0.00095900,0.00591600
